INT,1000
WAIT
INT,4
SET,0,10
WHILE,00000023
VAR,10
INT,0
GE
IF,00000023
INT,150
INT,120
RND
INT,60
SUB
INT,1
INT,3
ENEMY2
INT,100
WAIT
INT,1
SET,2,10
GOTO,00000005
INT,500
WAIT
INT,2
SET,0,11
WHILE,00000061
VAR,11
INT,0
GE
IF,00000061
INT,8
SET,0,10
INT,100
INT,10
RANK
MUL
ADD
SET,0,1
WHILE,00000056
VAR,10
INT,0
GE
IF,00000056
VAR,1
INT,120
INT,120
RND
ADD
INT,2
INT,9
ENEMY2
INT,1
SET,2,10
GOTO,00000040
INT,2500
WAIT
INT,1
SET,2,11
GOTO,00000027
INT,200
INT,120
INT,2
INT,4
ENEMY2
INT,200
INT,240
INT,2
INT,4
ENEMY2
INT,5000
WAIT
END
